"gene_name","meth_category"
"TPRA1","TSS1500"
"TREM1","TSS1500"
"TREM1","TSS200"
"TREM2","TSS200"
"TREML2","TSS200"
"TREX1","TSS200"
"TRIB1","TSS1500"
"TRIM13","TSS1500"
"TRIM2","TSS1500"
"TRIP6","TSS1500"
"TRPC2","TSS1500"
"TRPC3","TSS1500"
"TRPC4AP","TSS1500"
"TSGA13","TSS1500"
"TSPAN4","TSS1500"
"TSPAN4","TSS200"
"TSPAN5","TSS1500"
"TTC31","TSS1500"
"TTC36","TSS200"
"TTC39B","TSS1500"
"TTC39C","TSS1500"
"TXNDC11","TSS1500"
"TYROBP","TSS200"
"UBE2L3","TSS1500"
"UBE2L6","TSS1500"
"UPF2","TSS1500"
"UPK3B","TSS1500"
"UPP1","TSS1500"
"USP47","TSS1500"
"USP47","TSS200"
"VCAM1","TSS1500"
"VGLL4","TSS200"
"VNN 1.00","TSS200"
"VPS37C","TSS1500"
"VSTM1","TSS1500"
"VSTM1","TSS200"
"VTN","TSS200"
"WAS","TSS1500"
"WDFY4","TSS1500"
"WDFY4","TSS200"
"WDR46","TSS1500"
"XYLT1","TSS1500"
"YPEL3","TSS1500"
"ZBTB12","TSS1500"
"ZBTB38","TSS200"
"ZCCHC11","TSS1500"
"ZCCHC9","TSS1500"
"ZEB2","TSS1500"
"ZFP161","TSS1500"
"ZFP57","TSS200"
"ZNF124","TSS1500"
"ZNF193","TSS1500"
"ZNF22","TSS1500"
"ZNF300","TSS200"
"ZNF323","TSS1500"
"ZNF496","TSS1500"
"ZNF692","TSS1500"
"ZNHIT1","TSS1500"
"ZSCAN18","TSS1500"
